Facility Name,City,State,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison
SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,(334) 793-8701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
MARSHALL MEDICAL CENTERS,BOAZ,AL,(256) 593-8310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,(256) 768-8400,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average
MIZELL MEMORIAL HOSPITAL,OPP,AL,(334) 493-3541,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,(334) 335-3374,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average
ST. VINCENT'S EAST,BIRMINGHAM,AL,(205) 838-3122,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,(256) 845-3150,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,(205) 620-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,(205) 325-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HELEN KELLER HOSPITAL,SHEFFIELD,AL,(256) 386-4556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
DALE MEDICAL CENTER,OZARK,AL,(334) 774-2601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
CHEROKEE MEDICAL CENTER,CENTRE,AL,(256) 927-5531,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,(334) 288-2100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,(334) 293-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
EAST ALABAMA MEDICAL CENTER AND SNF,OPELIKA,AL,(334) 749-3411,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average
UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,(205) 934-4011,Acute Care Hospitals,Government - State,Yes,2,Above the national average,Below the national average,Below the national average,Above the national average,Below the national average
COMMUNITY HOSPITAL INC,TALLASSEE,AL,(334) 283-6541,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,(256) 737-2000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
ANDALUSIA HEALTH,ANDALUSIA,AL,(334) 222-8466,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average
STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,(256) 235-8900,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,(256) 265-1000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,(256) 494-4000,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average
MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,(205) 921-6200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average
FAYETTE MEDICAL CENTER,FAYETTE,AL,(205) 932-5966,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,(256) 543-5200,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,(334) 347-0584,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
GREENE COUNTY HOSPITAL,EUTAW,AL,(205) 372-3388,Acute Care Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,(256) 825-7821,Acute Care Hospitals,Proprietary,Yes,3,Not Available,Not Available,Below the national average,Same as the national average,Same as the national average
FLOWERS HOSPITAL,DOTHAN,AL,(334) 793-5000,Acute Care Hospitals,Proprietary,Yes,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,(205) 939-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Below the national average
BIBB MEDICAL CENTER,CENTREVILLE,AL,(205) 926-4881,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average
LAWRENCE MEDICAL CENTER,MOULTON,AL,(256) 974-2200,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,(256) 259-4444,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average
